Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;LAMPE;Gemacht;p;0;0;0;9;p;1;1.139456800003245;002;FSLK99;2019_Dec_03_1517;iat_vr;59.98005063556221;
1;KLEIDER;Gemacht;p;0;1;1;7;p;1;0.72148439999728;002;FSLK99;2019_Dec_03_1517;iat_vr;59.98005063556221;
1;GEBÄUDE;Gemacht;p;0;2;2;5;p;1;0.5840535999996064;002;FSLK99;2019_Dec_03_1517;iat_vr;59.98005063556221;
1;TIER;Natur;q;0;3;3;3;q;1;0.6296571000020776;002;FSLK99;2019_Dec_03_1517;iat_vr;59.98005063556221;
1;STEIN;Natur;q;0;4;4;4;q;1;0.6911398000011104;002;FSLK99;2019_Dec_03_1517;iat_vr;59.98005063556221;
1;WASSER;Natur;q;0;5;5;1;q;1;0.5133174000002327;002;FSLK99;2019_Dec_03_1517;iat_vr;59.98005063556221;
1;BAUM;Natur;q;0;6;6;0;q;1;0.6988787000009324;002;FSLK99;2019_Dec_03_1517;iat_vr;59.98005063556221;
1;COMPUTER;Gemacht;p;0;7;7;8;p;1;0.6852562999993097;002;FSLK99;2019_Dec_03_1517;iat_vr;59.98005063556221;
1;STADT;Gemacht;p;0;8;8;6;p;1;0.49847869999939576;002;FSLK99;2019_Dec_03_1517;iat_vr;59.98005063556221;
1;BLUME;Natur;q;0;9;9;2;q;1;0.6811159999997471;002;FSLK99;2019_Dec_03_1517;iat_vr;59.98005063556221;
1;STEIN;Natur;q;1;0;10;4;q;1;0.6353335999992851;002;FSLK99;2019_Dec_03_1517;iat_vr;59.98005063556221;
1;TIER;Natur;q;1;1;11;3;q;1;0.5322438000002876;002;FSLK99;2019_Dec_03_1517;iat_vr;59.98005063556221;
1;BLUME;Natur;q;1;2;12;2;q;1;0.49647099999856437;002;FSLK99;2019_Dec_03_1517;iat_vr;59.98005063556221;
1;BAUM;Natur;q;1;3;13;0;q;1;0.5315314999970724;002;FSLK99;2019_Dec_03_1517;iat_vr;59.98005063556221;
1;KLEIDER;Gemacht;p;1;4;14;7;p;1;0.5468710000022838;002;FSLK99;2019_Dec_03_1517;iat_vr;59.98005063556221;
1;COMPUTER;Gemacht;p;1;5;15;8;p;1;0.46387350000077276;002;FSLK99;2019_Dec_03_1517;iat_vr;59.98005063556221;
1;WASSER;Natur;q;1;6;16;1;q;1;0.6344817999997758;002;FSLK99;2019_Dec_03_1517;iat_vr;59.98005063556221;
1;LAMPE;Gemacht;p;1;7;17;9;p;1;0.6654477000010957;002;FSLK99;2019_Dec_03_1517;iat_vr;59.98005063556221;
1;STADT;Gemacht;p;1;8;18;6;p;1;0.6453442999991239;002;FSLK99;2019_Dec_03_1517;iat_vr;59.98005063556221;
1;GEBÄUDE;Gemacht;p;1;9;19;5;p;1;0.4807775000008405;002;FSLK99;2019_Dec_03_1517;iat_vr;59.98005063556221;
;;;;;;;;;;;002;FSLK99;2019_Dec_03_1517;iat_vr;59.98005063556221;
2;SCHWACH;negativ;q;0;0;0;4;q;1;0.8218624000001;002;FSLK99;2019_Dec_03_1517;iat_vr;59.98005063556221;
2;SCHLECHT;negativ;q;0;1;1;1;q;1;0.6294807999984187;002;FSLK99;2019_Dec_03_1517;iat_vr;59.98005063556221;
2;POSITIV;positiv;p;0;2;2;8;q;0;0.5958282999999938;002;FSLK99;2019_Dec_03_1517;iat_vr;59.98005063556221;
2;GUT;positiv;p;0;3;3;9;p;1;0.650264399999287;002;FSLK99;2019_Dec_03_1517;iat_vr;59.98005063556221;
2;SCHLIMM;negativ;q;0;4;4;0;q;1;0.6190452000009827;002;FSLK99;2019_Dec_03_1517;iat_vr;59.98005063556221;
2;HERVORRAGEND;positiv;p;0;5;5;7;p;1;0.6969214999990072;002;FSLK99;2019_Dec_03_1517;iat_vr;59.98005063556221;
2;EINWANDFREI;positiv;p;0;6;6;6;p;1;0.8956244000000879;002;FSLK99;2019_Dec_03_1517;iat_vr;59.98005063556221;
2;NEGATIV;negativ;q;0;7;7;2;q;1;0.596498300001258;002;FSLK99;2019_Dec_03_1517;iat_vr;59.98005063556221;
2;SCHÄDLICH;negativ;q;0;8;8;3;q;1;0.5945597999998427;002;FSLK99;2019_Dec_03_1517;iat_vr;59.98005063556221;
