Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;BLUME;Natur;q;0;0;0;2;q;1;0.9287715999998909;002;FSLM98;2019_Dec_04_1208;iat_vr;59.67950910020202;
1;BAUM;Natur;q;0;1;1;0;q;1;0.5782521000000997;002;FSLM98;2019_Dec_04_1208;iat_vr;59.67950910020202;
1;STADT;Gemacht;p;0;2;2;6;p;1;0.5771638000001076;002;FSLM98;2019_Dec_04_1208;iat_vr;59.67950910020202;
1;KLEIDER;Gemacht;p;0;3;3;7;p;1;0.6418777999997474;002;FSLM98;2019_Dec_04_1208;iat_vr;59.67950910020202;
1;TIER;Natur;q;0;4;4;3;q;1;0.6506749999998647;002;FSLM98;2019_Dec_04_1208;iat_vr;59.67950910020202;
1;WASSER;Natur;q;0;5;5;1;q;1;0.5686329000000114;002;FSLM98;2019_Dec_04_1208;iat_vr;59.67950910020202;
1;COMPUTER;Gemacht;p;0;6;6;8;p;1;0.5687559999996665;002;FSLM98;2019_Dec_04_1208;iat_vr;59.67950910020202;
1;LAMPE;Gemacht;p;0;7;7;9;p;1;0.6976911000001564;002;FSLM98;2019_Dec_04_1208;iat_vr;59.67950910020202;
1;STEIN;Natur;q;0;8;8;4;q;1;0.6927938999997423;002;FSLM98;2019_Dec_04_1208;iat_vr;59.67950910020202;
1;GEBÄUDE;Gemacht;p;0;9;9;5;p;1;0.5735802999997759;002;FSLM98;2019_Dec_04_1208;iat_vr;59.67950910020202;
1;STEIN;Natur;q;1;0;10;4;q;1;0.5351700999999593;002;FSLM98;2019_Dec_04_1208;iat_vr;59.67950910020202;
1;GEBÄUDE;Gemacht;p;1;1;11;5;p;1;0.7004072999998243;002;FSLM98;2019_Dec_04_1208;iat_vr;59.67950910020202;
1;STADT;Gemacht;p;1;2;12;6;p;1;0.5960116999999627;002;FSLM98;2019_Dec_04_1208;iat_vr;59.67950910020202;
1;LAMPE;Gemacht;p;1;3;13;9;q;0;0.5821040999999241;002;FSLM98;2019_Dec_04_1208;iat_vr;59.67950910020202;
1;BLUME;Natur;q;1;4;14;2;q;1;0.8186832999999751;002;FSLM98;2019_Dec_04_1208;iat_vr;59.67950910020202;
1;KLEIDER;Gemacht;p;1;5;15;7;p;1;0.8009926999998243;002;FSLM98;2019_Dec_04_1208;iat_vr;59.67950910020202;
1;BAUM;Natur;q;1;6;16;0;q;1;0.7824938999997357;002;FSLM98;2019_Dec_04_1208;iat_vr;59.67950910020202;
1;TIER;Natur;q;1;7;17;3;q;1;0.5974148999998761;002;FSLM98;2019_Dec_04_1208;iat_vr;59.67950910020202;
1;COMPUTER;Gemacht;p;1;8;18;8;p;1;0.6450204999996458;002;FSLM98;2019_Dec_04_1208;iat_vr;59.67950910020202;
1;WASSER;Natur;q;1;9;19;1;q;1;0.6149120999998559;002;FSLM98;2019_Dec_04_1208;iat_vr;59.67950910020202;
;;;;;;;;;;;002;FSLM98;2019_Dec_04_1208;iat_vr;59.67950910020202;
2;SCHWACH;negativ;q;0;0;0;4;q;1;1.33600400000023;002;FSLM98;2019_Dec_04_1208;iat_vr;59.67950910020202;
2;SCHLIMM;negativ;q;0;1;1;0;q;1;0.6597045999997135;002;FSLM98;2019_Dec_04_1208;iat_vr;59.67950910020202;
2;SCHÄDLICH;negativ;q;0;2;2;3;q;1;0.5850990999997521;002;FSLM98;2019_Dec_04_1208;iat_vr;59.67950910020202;
2;EINWANDFREI;positiv;p;0;3;3;6;p;1;0.6811662999998589;002;FSLM98;2019_Dec_04_1208;iat_vr;59.67950910020202;
2;GUT;positiv;p;0;4;4;9;p;1;0.5255864999999176;002;FSLM98;2019_Dec_04_1208;iat_vr;59.67950910020202;
