Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;TIER;Natur;q;0;0;0;3;q;1;3.113902799999778;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
1;BAUM;Natur;q;0;1;1;0;q;1;0.7055100999969;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
1;COMPUTER;Gemacht;p;0;2;2;8;p;1;0.7054465000001073;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
1;STEIN;Natur;q;0;3;3;4;q;1;0.7568343999992067;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
1;STADT;Gemacht;p;0;4;4;6;p;1;0.7473307000000204;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
1;KLEIDER;Gemacht;p;0;5;5;7;p;1;0.7692354999999225;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
1;LAMPE;Gemacht;p;0;6;6;9;p;1;0.6815408000002208;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
1;GEBÄUDE;Gemacht;p;0;7;7;5;p;1;0.6857020999996166;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
1;BLUME;Natur;q;0;8;8;2;q;1;0.6830791000029421;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
1;WASSER;Natur;q;0;9;9;1;q;1;0.712360900000931;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
1;WASSER;Natur;q;1;0;10;1;q;1;0.6670675999994273;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
1;KLEIDER;Gemacht;p;1;1;11;7;p;1;0.713857899998402;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
1;BLUME;Natur;q;1;2;12;2;q;1;0.712832499997603;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
1;BAUM;Natur;q;1;3;13;0;q;1;0.6332968000024266;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
1;COMPUTER;Gemacht;p;1;4;14;8;p;1;0.612161200002447;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
1;STADT;Gemacht;p;1;5;15;6;p;1;1.413901200001419;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
1;LAMPE;Gemacht;p;1;6;16;9;p;1;0.6803008999995654;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
1;GEBÄUDE;Gemacht;p;1;7;17;5;p;1;0.6479966999977478;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
1;TIER;Natur;q;1;8;18;3;q;1;2.4017378999997163;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
1;STEIN;Natur;q;1;9;19;4;q;1;1.6309360999985074;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
;;;;;;;;;;;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
2;GUT;positiv;p;0;0;0;9;p;1;1.3262034999970638;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
2;AUSGEZEICHNET;positiv;p;0;1;1;5;p;1;0.5953143000006094;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
2;SCHWACH;negativ;q;0;2;2;4;q;1;0.6479116000009526;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
2;HERVORRAGEND;positiv;p;0;3;3;7;p;1;0.6404714999989665;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
2;SCHÄDLICH;negativ;q;0;4;4;3;q;1;0.8473427000026277;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
2;POSITIV;positiv;p;0;5;5;8;p;1;0.6307555000021239;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
2;SCHLIMM;negativ;q;0;6;6;0;q;1;0.7320032999996329;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
2;EINWANDFREI;positiv;p;0;7;7;6;p;1;0.7271170999993046;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
2;NEGATIV;negativ;q;0;8;8;2;q;1;0.6622234999995271;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
2;SCHLECHT;negativ;q;0;9;9;1;q;1;0.8622486999993271;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
2;POSITIV;positiv;p;1;0;10;8;p;1;0.7147084999996878;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
2;SCHWACH;negativ;q;1;1;11;4;q;1;0.7303272000026482;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
2;AUSGEZEICHNET;positiv;p;1;2;12;5;p;1;0.6929836000017531;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
2;HERVORRAGEND;positiv;p;1;3;13;7;p;1;0.6465033999993466;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
2;NEGATIV;negativ;q;1;4;14;2;q;1;0.7277557000015804;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
2;SCHLECHT;negativ;q;1;5;15;1;q;1;1.311448800002836;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
2;SCHÄDLICH;negativ;q;1;6;16;3;q;1;0.7474638999992749;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
2;GUT;positiv;p;1;7;17;9;p;1;1.4486986000010802;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
2;EINWANDFREI;positiv;p;1;8;18;6;p;1;0.6448125999995682;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
2;SCHLIMM;negativ;q;1;9;19;0;q;1;0.8311923000001116;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
;;;;;;;;;;;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
3;TIER;Natur;q;0;0;0;13;q;1;1.8813915999999153;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
3;KLEIDER;Gemacht;p;0;1;1;17;p;1;0.7311053999983415;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
3;WASSER;Natur;q;0;2;2;11;q;1;0.8792027000017697;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
3;AUSGEZEICHNET;positiv;p;0;3;3;5;p;1;0.8296832999985781;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
3;COMPUTER;Gemacht;p;0;4;4;18;p;1;2.2476886000004015;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
3;HERVORRAGEND;positiv;p;0;5;5;7;p;1;1.2125856000020576;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
3;EINWANDFREI;positiv;p;0;6;6;6;p;1;0.8349631000019144;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
3;STEIN;Natur;q;0;7;7;14;q;1;1.080448400000023;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
3;GEBÄUDE;Gemacht;p;0;8;8;15;p;1;1.5186661000007007;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
3;BAUM;Natur;q;0;9;9;10;q;1;0.6825654000022041;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
3;SCHWACH;negativ;q;0;10;10;4;q;1;1.0452877999996417;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
3;BLUME;Natur;q;0;11;11;12;q;1;1.7812797000005958;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
3;LAMPE;Gemacht;p;0;12;12;19;p;1;0.748933599999873;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
3;SCHÄDLICH;negativ;q;0;13;13;3;q;1;2.5975600999991;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
3;SCHLECHT;negativ;q;0;14;14;1;q;1;1.030151200000546;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
3;POSITIV;positiv;p;0;15;15;8;p;1;0.7146264000002702;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
3;STADT;Gemacht;p;0;16;16;16;p;1;0.9637480999990657;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
3;GUT;positiv;p;0;17;17;9;p;1;0.6984163999986777;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
3;SCHLIMM;negativ;q;0;18;18;0;q;1;0.8143872999971791;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
3;NEGATIV;negativ;q;0;19;19;2;q;1;1.3142909000016516;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
;;;;;;;;;;;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
4;SCHÄDLICH;negativ;q;0;0;0;3;q;1;1.5096362000003865;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
4;BAUM;Natur;q;0;1;1;10;q;1;2.283771300000808;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
4;COMPUTER;Gemacht;p;0;2;2;18;p;1;0.8297275000004447;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
4;AUSGEZEICHNET;positiv;p;0;3;3;5;p;1;0.6948211999988416;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
4;SCHLECHT;negativ;q;0;4;4;1;q;1;0.7977174000006926;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
4;GEBÄUDE;Gemacht;p;0;5;5;15;p;1;0.8629911999996693;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
4;EINWANDFREI;positiv;p;0;6;6;6;p;1;2.7789531000016723;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
4;GUT;positiv;p;0;7;7;9;p;1;0.6480309999969904;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
4;LAMPE;Gemacht;p;0;8;8;19;p;1;0.8137252000014996;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
4;TIER;Natur;q;0;9;9;13;q;1;0.7485633999967831;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
4;STEIN;Natur;q;0;10;10;14;q;1;0.6981716999980563;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
4;KLEIDER;Gemacht;p;0;11;11;17;p;1;0.7961246999984724;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
4;BLUME;Natur;q;0;12;12;12;q;1;0.6986920000017562;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
4;NEGATIV;negativ;q;0;13;13;2;q;1;0.8799442000017734;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
4;STADT;Gemacht;p;0;14;14;16;p;1;1.0645975000006729;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
4;SCHWACH;negativ;q;0;15;15;4;q;1;1.4984146999995573;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
4;SCHLIMM;negativ;q;0;16;16;0;q;1;0.7593746999991708;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
4;HERVORRAGEND;positiv;p;0;17;17;7;p;1;0.8118857999979809;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
4;WASSER;Natur;q;0;18;18;11;q;1;0.847504299999855;002;FSLW90;2019_Dec_03_1600;iat_vr;59.867692400306325;
