Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;STADT;Gemacht;p;0;0;0;6;q;0;1.466976700000032;001;FSNK87;2019_Dec_19_1100;iat_vr;60.060420783292;
1;STEIN;Natur;q;0;1;1;4;q;1;1.4581201999999962;001;FSNK87;2019_Dec_19_1100;iat_vr;60.060420783292;
1;LAMPE;Gemacht;p;0;2;2;9;p;1;1.2032221999999706;001;FSNK87;2019_Dec_19_1100;iat_vr;60.060420783292;
1;BAUM;Natur;q;0;3;3;0;q;1;0.8242662000000109;001;FSNK87;2019_Dec_19_1100;iat_vr;60.060420783292;
1;WASSER;Natur;q;0;4;4;1;q;1;1.1919419999999832;001;FSNK87;2019_Dec_19_1100;iat_vr;60.060420783292;
1;TIER;Natur;q;0;5;5;3;q;1;1.0151912999999695;001;FSNK87;2019_Dec_19_1100;iat_vr;60.060420783292;
1;GEBÄUDE;Gemacht;p;0;6;6;5;p;1;0.6880838000000153;001;FSNK87;2019_Dec_19_1100;iat_vr;60.060420783292;
1;COMPUTER;Gemacht;p;0;7;7;8;p;1;1.4755529000000251;001;FSNK87;2019_Dec_19_1100;iat_vr;60.060420783292;
1;BLUME;Natur;q;0;8;8;2;q;1;0.6821527000000174;001;FSNK87;2019_Dec_19_1100;iat_vr;60.060420783292;
1;KLEIDER;Gemacht;p;0;9;9;7;p;1;1.061934899999983;001;FSNK87;2019_Dec_19_1100;iat_vr;60.060420783292;
1;STEIN;Natur;q;1;0;10;4;q;1;0.748326899999995;001;FSNK87;2019_Dec_19_1100;iat_vr;60.060420783292;
1;LAMPE;Gemacht;p;1;1;11;9;q;0;0.864787500000034;001;FSNK87;2019_Dec_19_1100;iat_vr;60.060420783292;
1;KLEIDER;Gemacht;p;1;2;12;7;p;1;0.6637423999999896;001;FSNK87;2019_Dec_19_1100;iat_vr;60.060420783292;
1;GEBÄUDE;Gemacht;p;1;3;13;5;p;1;0.6966481000000044;001;FSNK87;2019_Dec_19_1100;iat_vr;60.060420783292;
1;BLUME;Natur;q;1;4;14;2;q;1;0.564680199999998;001;FSNK87;2019_Dec_19_1100;iat_vr;60.060420783292;
1;TIER;Natur;q;1;5;15;3;p;0;0.6188356000000113;001;FSNK87;2019_Dec_19_1100;iat_vr;60.060420783292;
