Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;STADT;Gemacht;p;0;0;0;6;p;1;1.6383112000003166;001;FSNS94;2019_Dec_03_1034;iat_vr;60.20795828790791;
1;LAMPE;Gemacht;p;0;1;1;9;p;1;1.1187521000001652;001;FSNS94;2019_Dec_03_1034;iat_vr;60.20795828790791;
1;STEIN;Natur;q;0;2;2;4;q;1;0.7341662999997425;001;FSNS94;2019_Dec_03_1034;iat_vr;60.20795828790791;
1;TIER;Natur;q;0;3;3;3;q;1;0.6955454999997528;001;FSNS94;2019_Dec_03_1034;iat_vr;60.20795828790791;
1;BAUM;Natur;q;0;4;4;0;q;1;0.5600689000002603;001;FSNS94;2019_Dec_03_1034;iat_vr;60.20795828790791;
1;KLEIDER;Gemacht;p;0;5;5;7;p;1;0.935517300000356;001;FSNS94;2019_Dec_03_1034;iat_vr;60.20795828790791;
1;WASSER;Natur;q;0;6;6;1;q;1;0.6689834999997402;001;FSNS94;2019_Dec_03_1034;iat_vr;60.20795828790791;
1;BLUME;Natur;q;0;7;7;2;q;1;5.532208599999649;001;FSNS94;2019_Dec_03_1034;iat_vr;60.20795828790791;
1;COMPUTER;Gemacht;p;0;8;8;8;p;1;1.951919199999793;001;FSNS94;2019_Dec_03_1034;iat_vr;60.20795828790791;
1;GEBÄUDE;Gemacht;p;0;9;9;5;p;1;0.7455522000000201;001;FSNS94;2019_Dec_03_1034;iat_vr;60.20795828790791;
1;STADT;Gemacht;p;1;0;10;6;p;1;1.1477719000004072;001;FSNS94;2019_Dec_03_1034;iat_vr;60.20795828790791;
1;STEIN;Natur;q;1;1;11;4;q;1;0.8359939000001759;001;FSNS94;2019_Dec_03_1034;iat_vr;60.20795828790791;
1;GEBÄUDE;Gemacht;p;1;2;12;5;p;1;2.2003348000007463;001;FSNS94;2019_Dec_03_1034;iat_vr;60.20795828790791;
1;BLUME;Natur;q;1;3;13;2;q;1;0.6325383000003058;001;FSNS94;2019_Dec_03_1034;iat_vr;60.20795828790791;
1;LAMPE;Gemacht;p;1;4;14;9;p;1;1.2295046999997794;001;FSNS94;2019_Dec_03_1034;iat_vr;60.20795828790791;
1;COMPUTER;Gemacht;p;1;5;15;8;p;1;1.5187886000003346;001;FSNS94;2019_Dec_03_1034;iat_vr;60.20795828790791;
1;KLEIDER;Gemacht;p;1;6;16;7;p;1;1.978755999999521;001;FSNS94;2019_Dec_03_1034;iat_vr;60.20795828790791;
1;WASSER;Natur;q;1;7;17;1;q;1;0.6157558000004428;001;FSNS94;2019_Dec_03_1034;iat_vr;60.20795828790791;
1;BAUM;Natur;q;1;8;18;0;q;1;0.6629790999995748;001;FSNS94;2019_Dec_03_1034;iat_vr;60.20795828790791;
1;TIER;Natur;q;1;9;19;3;q;1;0.5009808000004341;001;FSNS94;2019_Dec_03_1034;iat_vr;60.20795828790791;
;;;;;;;;;;;001;FSNS94;2019_Dec_03_1034;iat_vr;60.20795828790791;
2;SCHLIMM;negativ;q;0;0;0;0;q;1;1.078449499999806;001;FSNS94;2019_Dec_03_1034;iat_vr;60.20795828790791;
2;SCHLECHT;negativ;q;0;1;1;1;q;1;0.6353557000002183;001;FSNS94;2019_Dec_03_1034;iat_vr;60.20795828790791;
2;HERVORRAGEND;positiv;p;0;2;2;7;p;1;0.7518951000001834;001;FSNS94;2019_Dec_03_1034;iat_vr;60.20795828790791;
2;NEGATIV;negativ;q;0;3;3;2;q;1;0.6617608999995355;001;FSNS94;2019_Dec_03_1034;iat_vr;60.20795828790791;
2;AUSGEZEICHNET;positiv;p;0;4;4;5;p;1;0.8478313000005073;001;FSNS94;2019_Dec_03_1034;iat_vr;60.20795828790791;
2;GUT;positiv;p;0;5;5;9;p;1;0.48323309999977937;001;FSNS94;2019_Dec_03_1034;iat_vr;60.20795828790791;
2;SCHÄDLICH;negativ;q;0;6;6;3;q;1;0.5524671000002854;001;FSNS94;2019_Dec_03_1034;iat_vr;60.20795828790791;
2;POSITIV;positiv;p;0;7;7;8;p;1;0.44718120000015915;001;FSNS94;2019_Dec_03_1034;iat_vr;60.20795828790791;
2;EINWANDFREI;positiv;p;0;8;8;6;p;1;0.6397924000002604;001;FSNS94;2019_Dec_03_1034;iat_vr;60.20795828790791;
