Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;STEIN;Natur;q;0;0;0;4;q;1;1.2149830999987898;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
1;STADT;Gemacht;p;0;1;1;6;p;1;0.8920967000012752;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
1;KLEIDER;Gemacht;p;0;2;2;7;p;1;0.9230349999997998;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
1;WASSER;Natur;q;0;3;3;1;q;1;0.794681400002446;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
1;BLUME;Natur;q;0;4;4;2;q;1;0.8381703000050038;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
1;GEBÄUDE;Gemacht;p;0;5;5;5;p;1;0.8069677999883424;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
1;LAMPE;Gemacht;p;0;6;6;9;p;1;1.2068290000024717;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
1;BAUM;Natur;q;0;7;7;0;q;1;0.8828306999930646;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
1;TIER;Natur;q;0;8;8;3;q;1;0.8808430999924894;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
1;COMPUTER;Gemacht;p;0;9;9;8;p;1;0.8392843000037828;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
1;STADT;Gemacht;p;1;0;10;6;p;1;0.8654837999929441;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
1;STEIN;Natur;q;1;1;11;4;q;1;0.7680528000055347;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
1;TIER;Natur;q;1;2;12;3;q;1;0.7663814000115963;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
1;WASSER;Natur;q;1;3;13;1;q;1;0.7652913999918383;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
1;BAUM;Natur;q;1;4;14;0;q;1;0.8323044999997364;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
1;GEBÄUDE;Gemacht;p;1;5;15;5;q;0;0.9976578000059817;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
1;LAMPE;Gemacht;p;1;6;16;9;p;1;0.9820111000008183;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
1;COMPUTER;Gemacht;p;1;7;17;8;p;1;0.6926983000012115;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
1;BLUME;Natur;q;1;8;18;2;q;1;0.6671035000035772;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
1;KLEIDER;Gemacht;p;1;9;19;7;p;1;0.7502343999949517;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
;;;;;;;;;;;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
2;POSITIV;positiv;p;0;0;0;8;p;1;1.647289999993518;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
2;SCHWACH;negativ;q;0;1;1;4;q;1;2.013964500001748;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
2;HERVORRAGEND;positiv;p;0;2;2;7;p;1;0.9297295999858761;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
2;GUT;positiv;p;0;3;3;9;p;1;1.081415000007837;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
2;SCHLIMM;negativ;q;0;4;4;0;q;1;0.8313238999980967;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
2;EINWANDFREI;positiv;p;0;5;5;6;p;1;0.9615348999941489;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
2;SCHÄDLICH;negativ;q;0;6;6;3;q;1;0.9123958999989554;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
2;NEGATIV;negativ;q;0;7;7;2;q;1;1.0147817999968538;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
2;SCHLECHT;negativ;q;0;8;8;1;q;1;0.8640572000003885;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
2;AUSGEZEICHNET;positiv;p;0;9;9;5;p;1;1.4900599000102375;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
2;AUSGEZEICHNET;positiv;p;1;0;10;5;p;1;0.7342647000041325;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
2;EINWANDFREI;positiv;p;1;1;11;6;p;1;1.036152000000584;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
2;SCHLIMM;negativ;q;1;2;12;0;q;1;0.6817038000008324;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
2;SCHWACH;negativ;q;1;3;13;4;q;1;0.7452113000035752;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
2;GUT;positiv;p;1;4;14;9;p;1;0.682677100005094;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
2;SCHLECHT;negativ;q;1;5;15;1;q;1;0.646528400000534;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
2;POSITIV;positiv;p;1;6;16;8;p;1;0.6635199000011198;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
2;HERVORRAGEND;positiv;p;1;7;17;7;p;1;0.7939810999960173;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
2;NEGATIV;negativ;q;1;8;18;2;q;1;0.6810066000034567;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
2;SCHÄDLICH;negativ;q;1;9;19;3;q;1;0.8307309000083478;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
;;;;;;;;;;;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
3;COMPUTER;Gemacht;p;0;0;0;18;p;1;1.3270308000064688;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
3;WASSER;Natur;q;0;1;1;11;q;1;0.9488232000003336;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
3;SCHÄDLICH;negativ;q;0;2;2;3;q;1;1.1133970999944722;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
3;LAMPE;Gemacht;p;0;3;3;19;p;1;0.9992238000122597;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
3;AUSGEZEICHNET;positiv;p;0;4;4;5;p;1;1.0603561000025366;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
3;STEIN;Natur;q;0;5;5;14;q;1;0.9682139000069583;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
3;KLEIDER;Gemacht;p;0;6;6;17;p;1;0.9589352000039071;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
3;BLUME;Natur;q;0;7;7;12;q;1;0.9023047999944538;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
3;HERVORRAGEND;positiv;p;0;8;8;7;p;1;0.7856253000063589;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
3;TIER;Natur;q;0;9;9;13;q;1;1.0330284999945434;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
3;GEBÄUDE;Gemacht;p;0;10;10;15;p;1;0.7935394999949494;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
3;GUT;positiv;p;0;11;11;9;p;1;0.9154699999926379;001;JWFN90x;2019_Dec_10_1456;iat_vr;60.031504534111455;
