Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;TIER;Natur;q;0;0;0;3;q;1;1.1410524000020814;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
1;STADT;Gemacht;p;0;1;1;6;p;1;0.6507455000028131;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
1;STEIN;Natur;q;0;2;2;4;q;1;0.7928921999991871;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
1;WASSER;Natur;q;0;3;3;1;q;1;0.6101653000005172;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
1;KLEIDER;Gemacht;p;0;4;4;7;p;1;0.8088303000040469;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
1;GEBÄUDE;Gemacht;p;0;5;5;5;p;1;0.6324440000025788;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
1;BAUM;Natur;q;0;6;6;0;q;1;0.6165430999972159;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
1;BLUME;Natur;q;0;7;7;2;q;1;0.6648306999995839;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
1;LAMPE;Gemacht;p;0;8;8;9;p;1;0.643584199999168;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
1;COMPUTER;Gemacht;p;0;9;9;8;p;1;0.5928350999965915;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
1;LAMPE;Gemacht;p;1;0;10;9;q;0;0.5478275999994366;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
1;GEBÄUDE;Gemacht;p;1;1;11;5;p;1;1.1805036999940057;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
1;STEIN;Natur;q;1;2;12;4;q;1;0.668143399998371;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
1;BLUME;Natur;q;1;3;13;2;q;1;1.080784500001755;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
1;TIER;Natur;q;1;4;14;3;q;1;0.5808718999978737;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
1;BAUM;Natur;q;1;5;15;0;q;1;0.6990213000026415;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
1;WASSER;Natur;q;1;6;16;1;q;1;0.6627361999999266;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
1;KLEIDER;Gemacht;p;1;7;17;7;p;1;0.5967763000007835;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
1;STADT;Gemacht;p;1;8;18;6;p;1;0.7312114000014844;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
1;COMPUTER;Gemacht;p;1;9;19;8;p;1;0.6472432999944431;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
;;;;;;;;;;;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
2;EINWANDFREI;positiv;p;0;0;0;6;p;1;1.8079696999993757;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
2;HERVORRAGEND;positiv;p;0;1;1;7;p;1;0.7057310000018333;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
2;POSITIV;positiv;p;0;2;2;8;p;1;0.6835234000027413;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
2;SCHLECHT;negativ;q;0;3;3;1;q;1;0.6969791000010446;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
2;GUT;positiv;p;0;4;4;9;p;1;0.7353917000000365;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
2;NEGATIV;negativ;q;0;5;5;2;q;1;0.6306194000062533;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
2;SCHÄDLICH;negativ;q;0;6;6;3;q;1;0.6622266999984276;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
2;SCHWACH;negativ;q;0;7;7;4;q;1;0.6294557999935932;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
2;AUSGEZEICHNET;positiv;p;0;8;8;5;p;1;0.7142932999995537;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
2;SCHLIMM;negativ;q;0;9;9;0;q;1;0.5813025999959791;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
2;NEGATIV;negativ;q;1;0;10;2;q;1;0.7146049000002677;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
2;SCHLECHT;negativ;q;1;1;11;1;q;1;0.5281214000060572;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
2;SCHLIMM;negativ;q;1;2;12;0;q;1;0.5270431000026292;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
2;POSITIV;positiv;p;1;3;13;8;p;1;0.5787380000037956;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
2;EINWANDFREI;positiv;p;1;4;14;6;p;1;0.99574059999577;001;JWIK97x;2019_Dec_10_1005;iat_vr;60.47795729682962;
