Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;STEIN;Natur;q;0;0;0;4;q;1;1.3210787999851163;002;JWLL97x;2019_Dec_12_0926;iat_vr;59.969439578255056;
1;COMPUTER;Gemacht;p;0;1;1;8;p;1;0.6439200000022538;002;JWLL97x;2019_Dec_12_0926;iat_vr;59.969439578255056;
1;WASSER;Natur;q;0;2;2;1;q;1;0.7949498000089079;002;JWLL97x;2019_Dec_12_0926;iat_vr;59.969439578255056;
1;TIER;Natur;q;0;3;3;3;q;1;0.6844710000150371;002;JWLL97x;2019_Dec_12_0926;iat_vr;59.969439578255056;
1;KLEIDER;Gemacht;p;0;4;4;7;p;1;0.6742028000007849;002;JWLL97x;2019_Dec_12_0926;iat_vr;59.969439578255056;
1;STADT;Gemacht;p;0;5;5;6;p;1;0.6000804000068456;002;JWLL97x;2019_Dec_12_0926;iat_vr;59.969439578255056;
1;BAUM;Natur;q;0;6;6;0;q;1;0.9105389000033028;002;JWLL97x;2019_Dec_12_0926;iat_vr;59.969439578255056;
1;BLUME;Natur;q;0;7;7;2;q;1;0.548013899999205;002;JWLL97x;2019_Dec_12_0926;iat_vr;59.969439578255056;
1;LAMPE;Gemacht;p;0;8;8;9;p;1;0.6298201000026893;002;JWLL97x;2019_Dec_12_0926;iat_vr;59.969439578255056;
1;GEBÄUDE;Gemacht;p;0;9;9;5;p;1;0.7366984999971464;002;JWLL97x;2019_Dec_12_0926;iat_vr;59.969439578255056;
1;KLEIDER;Gemacht;p;1;0;10;7;q;0;0.7122384000103921;002;JWLL97x;2019_Dec_12_0926;iat_vr;59.969439578255056;
1;TIER;Natur;q;1;1;11;3;q;1;0.6955205000122078;002;JWLL97x;2019_Dec_12_0926;iat_vr;59.969439578255056;
