Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;BLUME;Natur;q;0;0;0;2;q;1;2.029539200011641;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
1;GEBÄUDE;Gemacht;p;0;1;1;5;p;1;1.6875029999937396;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
1;COMPUTER;Gemacht;p;0;2;2;8;p;1;4.618618699998478;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
1;WASSER;Natur;q;0;3;3;1;q;1;0.7735522000002675;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
1;LAMPE;Gemacht;p;0;4;4;9;p;1;1.3465221999940695;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
1;BAUM;Natur;q;0;5;5;0;q;1;0.6655492999998387;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
1;KLEIDER;Gemacht;p;0;6;6;7;p;1;0.7413499999966007;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
1;STEIN;Natur;q;0;7;7;4;q;1;0.8610622999985935;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
1;STADT;Gemacht;p;0;8;8;6;p;1;0.8480866000027163;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
1;TIER;Natur;q;0;9;9;3;q;1;2.1173492999951122;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
1;STADT;Gemacht;p;1;0;10;6;p;1;0.6519023000000743;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
1;BLUME;Natur;q;1;1;11;2;q;1;0.5665254999912577;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
1;STEIN;Natur;q;1;2;12;4;q;1;0.6642534999991767;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
1;WASSER;Natur;q;1;3;13;1;q;1;0.6313978000107454;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
1;BAUM;Natur;q;1;4;14;0;q;1;0.5983476999972481;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
1;KLEIDER;Gemacht;p;1;5;15;7;p;1;1.5456438999972306;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
1;COMPUTER;Gemacht;p;1;6;16;8;p;1;1.530714499996975;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
1;GEBÄUDE;Gemacht;p;1;7;17;5;p;1;0.864947399997618;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
1;LAMPE;Gemacht;p;1;8;18;9;p;1;0.847250199993141;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
1;TIER;Natur;q;1;9;19;3;q;1;0.5652323999966029;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
;;;;;;;;;;;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
2;AUSGEZEICHNET;positiv;p;0;0;0;5;p;1;1.1238737999956356;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
2;EINWANDFREI;positiv;p;0;1;1;6;p;1;1.0096278999990318;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
2;SCHÄDLICH;negativ;q;0;2;2;3;q;1;0.7618806999962544;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
2;SCHLECHT;negativ;q;0;3;3;1;q;1;0.6484133000049042;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
2;HERVORRAGEND;positiv;p;0;4;4;7;p;1;0.655857300007483;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
2;SCHLIMM;negativ;q;0;5;5;0;q;1;0.6977821000036784;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
2;POSITIV;positiv;p;0;6;6;8;p;1;1.078622799992445;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
2;GUT;positiv;p;0;7;7;9;p;1;0.8323939999972936;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
2;SCHWACH;negativ;q;0;8;8;4;q;1;0.6958235000056447;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
2;NEGATIV;negativ;q;0;9;9;2;q;1;0.6642829000047641;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
2;POSITIV;positiv;p;1;0;10;8;p;1;0.613300099998014;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
2;HERVORRAGEND;positiv;p;1;1;11;7;p;1;0.663291399992886;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
2;GUT;positiv;p;1;2;12;9;p;1;0.7014468999987002;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
2;EINWANDFREI;positiv;p;1;3;13;6;p;1;0.6264089000032982;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
2;SCHLIMM;negativ;q;1;4;14;0;q;1;0.6122824999911245;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
2;SCHWACH;negativ;q;1;5;15;4;q;1;0.7804032999993069;002;JWNW94x;2019_Dec_10_1733;iat_vr;59.49108942616284;
