Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;WASSER;Natur;q;0;0;0;1;q;1;0.8369744000010542;002;JWRV98x;2019_Dec_10_0933;iat_vr;59.75989668677005;
1;LAMPE;Gemacht;p;0;1;1;9;p;1;0.5389782999991439;002;JWRV98x;2019_Dec_10_0933;iat_vr;59.75989668677005;
1;BAUM;Natur;q;0;2;2;0;q;1;0.5736579000003985;002;JWRV98x;2019_Dec_10_0933;iat_vr;59.75989668677005;
1;GEBÄUDE;Gemacht;p;0;3;3;5;p;1;0.47097760000178823;002;JWRV98x;2019_Dec_10_0933;iat_vr;59.75989668677005;
1;COMPUTER;Gemacht;p;0;4;4;8;p;1;0.5213662999958615;002;JWRV98x;2019_Dec_10_0933;iat_vr;59.75989668677005;
1;STADT;Gemacht;p;0;5;5;6;p;1;0.4320376000032411;002;JWRV98x;2019_Dec_10_0933;iat_vr;59.75989668677005;
1;BLUME;Natur;q;0;6;6;2;q;1;0.48115320000215434;002;JWRV98x;2019_Dec_10_0933;iat_vr;59.75989668677005;
1;KLEIDER;Gemacht;p;0;7;7;7;q;0;0.46916110000165645;002;JWRV98x;2019_Dec_10_0933;iat_vr;59.75989668677005;
1;TIER;Natur;q;0;8;8;3;q;1;0.9316642000048887;002;JWRV98x;2019_Dec_10_0933;iat_vr;59.75989668677005;
1;STEIN;Natur;q;0;9;9;4;q;1;0.5274203000008129;002;JWRV98x;2019_Dec_10_0933;iat_vr;59.75989668677005;
1;GEBÄUDE;Gemacht;p;1;0;10;5;p;1;0.49770649999845773;002;JWRV98x;2019_Dec_10_0933;iat_vr;59.75989668677005;
1;TIER;Natur;q;1;1;11;3;q;1;0.5866861999966204;002;JWRV98x;2019_Dec_10_0933;iat_vr;59.75989668677005;
1;KLEIDER;Gemacht;p;1;2;12;7;p;1;0.581119000002218;002;JWRV98x;2019_Dec_10_0933;iat_vr;59.75989668677005;
1;STADT;Gemacht;p;1;3;13;6;p;1;0.4982787000044482;002;JWRV98x;2019_Dec_10_0933;iat_vr;59.75989668677005;
1;COMPUTER;Gemacht;p;1;4;14;8;p;1;0.5191902000005939;002;JWRV98x;2019_Dec_10_0933;iat_vr;59.75989668677005;
1;BAUM;Natur;q;1;5;15;0;q;1;0.5654697999998461;002;JWRV98x;2019_Dec_10_0933;iat_vr;59.75989668677005;
1;LAMPE;Gemacht;p;1;6;16;9;p;1;0.4976131000003079;002;JWRV98x;2019_Dec_10_0933;iat_vr;59.75989668677005;
1;STEIN;Natur;q;1;7;17;4;q;1;0.6129673999967054;002;JWRV98x;2019_Dec_10_0933;iat_vr;59.75989668677005;
1;WASSER;Natur;q;1;8;18;1;q;1;0.5118721000035293;002;JWRV98x;2019_Dec_10_0933;iat_vr;59.75989668677005;
1;BLUME;Natur;q;1;9;19;2;q;1;0.4483570000011241;002;JWRV98x;2019_Dec_10_0933;iat_vr;59.75989668677005;
;;;;;;;;;;;002;JWRV98x;2019_Dec_10_0933;iat_vr;59.75989668677005;
2;SCHÄDLICH;negativ;q;0;0;0;3;q;1;0.8149174000063795;002;JWRV98x;2019_Dec_10_0933;iat_vr;59.75989668677005;
2;SCHLECHT;negativ;q;0;1;1;1;q;1;0.4467367000033846;002;JWRV98x;2019_Dec_10_0933;iat_vr;59.75989668677005;
2;SCHWACH;negativ;q;0;2;2;4;q;1;0.4817560000010417;002;JWRV98x;2019_Dec_10_0933;iat_vr;59.75989668677005;
2;SCHLIMM;negativ;q;0;3;3;0;q;1;0.5185886999970535;002;JWRV98x;2019_Dec_10_0933;iat_vr;59.75989668677005;
