Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;TIER;Natur;q;0;0;0;3;q;1;0.9836769999999433;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
1;WASSER;Natur;q;0;1;1;1;q;1;0.6446593000000576;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
1;BAUM;Natur;q;0;2;2;0;q;1;0.6392167999999856;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
1;LAMPE;Gemacht;p;0;3;3;9;p;1;0.6425468999998429;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
1;COMPUTER;Gemacht;p;0;4;4;8;p;1;0.7588372999998683;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
1;STADT;Gemacht;p;0;5;5;6;p;1;0.6094058999999561;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
1;KLEIDER;Gemacht;p;0;6;6;7;p;1;0.6599800999999843;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
1;BLUME;Natur;q;0;7;7;2;q;1;0.6145793999999114;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
1;GEBÄUDE;Gemacht;p;0;8;8;5;p;1;0.639574100000118;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
1;STEIN;Natur;q;0;9;9;4;q;1;0.7446866000000227;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
1;GEBÄUDE;Gemacht;p;1;0;10;5;p;1;0.6954981999999745;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
1;BLUME;Natur;q;1;1;11;2;q;1;0.7976994000000559;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
1;KLEIDER;Gemacht;p;1;2;12;7;p;1;0.6635822000000644;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
1;WASSER;Natur;q;1;3;13;1;q;1;0.681617899999992;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
1;STEIN;Natur;q;1;4;14;4;q;1;0.798522599999842;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
1;STADT;Gemacht;p;1;5;15;6;p;1;0.7467810999999074;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
1;COMPUTER;Gemacht;p;1;6;16;8;p;1;0.7801337999999305;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
1;TIER;Natur;q;1;7;17;3;q;1;0.7996908000000076;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
1;LAMPE;Gemacht;p;1;8;18;9;p;1;0.8482546999998704;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
1;BAUM;Natur;q;1;9;19;0;q;1;0.6991686999999729;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
;;;;;;;;;;;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
2;AUSGEZEICHNET;positiv;p;0;0;0;5;p;1;1.1682035000001179;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
2;SCHWACH;negativ;q;0;1;1;4;q;1;0.6978984999998374;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
2;GUT;positiv;p;0;2;2;9;p;1;0.6817212999999356;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
2;SCHÄDLICH;negativ;q;0;3;3;3;q;1;0.7295807999998942;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
2;NEGATIV;negativ;q;0;4;4;2;q;1;0.6251018999998905;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
2;SCHLECHT;negativ;q;0;5;5;1;p;0;0.6743873000000349;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
2;HERVORRAGEND;positiv;p;0;6;6;7;p;1;0.6616859000000659;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
2;EINWANDFREI;positiv;p;0;7;7;6;p;1;1.0127557000000706;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
2;SCHLIMM;negativ;q;0;8;8;0;q;1;0.6476867000001221;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
2;POSITIV;positiv;p;0;9;9;8;p;1;0.896041200000127;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
2;POSITIV;positiv;p;1;0;10;8;p;1;0.5676273000001402;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
2;SCHLECHT;negativ;q;1;1;11;1;q;1;0.8437038999998094;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
2;SCHÄDLICH;negativ;q;1;2;12;3;q;1;0.628424300000006;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
2;GUT;positiv;p;1;3;13;9;p;1;0.6853990000001886;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
2;EINWANDFREI;positiv;p;1;4;14;6;p;1;0.513446599999952;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
2;AUSGEZEICHNET;positiv;p;1;5;15;5;p;1;0.6418055000001459;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
2;NEGATIV;negativ;q;1;6;16;2;q;1;0.6636515000000145;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
2;HERVORRAGEND;positiv;p;1;7;17;7;p;1;0.8439913999998225;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
2;SCHWACH;negativ;q;1;8;18;4;q;1;0.6304889000000458;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
2;SCHLIMM;negativ;q;1;9;19;0;q;1;0.5782813000000715;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
;;;;;;;;;;;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
3;BAUM;Natur;q;0;0;0;10;q;1;0.9159303999999793;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
3;EINWANDFREI;positiv;p;0;1;1;6;p;1;0.7122412999999597;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
3;KLEIDER;Gemacht;p;0;2;2;17;p;1;0.6074080999999296;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
3;COMPUTER;Gemacht;p;0;3;3;18;p;1;0.5809062999999242;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
3;SCHLIMM;negativ;q;0;4;4;0;q;1;0.7296289000000797;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
3;SCHLECHT;negativ;q;0;5;5;1;q;1;0.5475999999998749;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
3;SCHÄDLICH;negativ;q;0;6;6;3;q;1;0.6632379000000128;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
3;TIER;Natur;q;0;7;7;13;q;1;1.0656139000000167;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
3;WASSER;Natur;q;0;8;8;11;q;1;0.5809129999997822;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
3;GEBÄUDE;Gemacht;p;0;9;9;15;p;1;0.7294200000001183;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
3;LAMPE;Gemacht;p;0;10;10;19;p;1;0.598373600000059;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
3;BLUME;Natur;q;0;11;11;12;q;1;0.6642038999998476;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
3;AUSGEZEICHNET;positiv;p;0;12;12;5;p;1;0.6430705000000216;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
3;POSITIV;positiv;p;0;13;13;8;p;1;0.6817682999999306;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
3;STADT;Gemacht;p;0;14;14;16;p;1;0.6603420000001279;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
3;STEIN;Natur;q;0;15;15;14;q;1;1.030403700000079;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
3;SCHWACH;negativ;q;0;16;16;4;q;1;1.2648053000000345;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
3;NEGATIV;negativ;q;0;17;17;2;q;1;0.7644694000000527;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
3;HERVORRAGEND;positiv;p;0;18;18;7;p;1;0.6046089999999822;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
3;GUT;positiv;p;0;19;19;9;p;1;0.8327068000000963;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
;;;;;;;;;;;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;HERVORRAGEND;positiv;p;0;0;0;7;p;1;1.4815673999999035;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;POSITIV;positiv;p;0;1;1;8;p;1;0.6112069000000702;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;EINWANDFREI;positiv;p;0;2;2;6;p;1;0.011991699999953198;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;LAMPE;Gemacht;p;0;3;3;19;p;1;1.5804192000000512;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;GEBÄUDE;Gemacht;p;0;4;4;15;p;1;0.7469492999998693;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;SCHLIMM;negativ;q;0;5;5;0;q;1;0.6310842000000321;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;STADT;Gemacht;p;0;6;6;16;p;1;0.6822262000000592;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;WASSER;Natur;q;0;7;7;11;q;1;0.531801600000108;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;KLEIDER;Gemacht;p;0;8;8;17;p;1;0.7319355999998152;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;GUT;positiv;p;0;9;9;9;p;1;0.6824005000000852;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;TIER;Natur;q;0;10;10;13;q;1;0.7489729999999781;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;STEIN;Natur;q;0;11;11;14;q;1;0.5816847999999482;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;SCHÄDLICH;negativ;q;0;12;12;3;q;1;0.8299348000000464;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;SCHWACH;negativ;q;0;13;13;4;q;1;0.5642731999998887;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;COMPUTER;Gemacht;p;0;14;14;18;p;1;1.447412600000007;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;BAUM;Natur;q;0;15;15;10;q;1;0.8317326000001231;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;SCHLECHT;negativ;q;0;16;16;1;q;1;0.9319456999999147;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;BLUME;Natur;q;0;17;17;12;p;0;0.646517600000152;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;AUSGEZEICHNET;positiv;p;0;18;18;5;p;1;0.6924939999998969;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;NEGATIV;negativ;q;0;19;19;2;q;1;0.6140216999999666;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;POSITIV;positiv;p;1;0;20;8;p;1;0.8296788999998626;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;EINWANDFREI;positiv;p;1;1;21;6;p;1;0.580235299999913;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;SCHÄDLICH;negativ;q;1;2;22;3;q;1;0.6626890000000003;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;STEIN;Natur;q;1;3;23;14;q;1;0.8309085000000778;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;NEGATIV;negativ;q;1;4;24;2;q;1;0.6801924999999756;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;TIER;Natur;q;1;5;25;13;q;1;0.9647138999998788;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;WASSER;Natur;q;1;6;26;11;q;1;0.5644939000001159;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;KLEIDER;Gemacht;p;1;7;27;17;p;1;0.6478131999999732;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;LAMPE;Gemacht;p;1;8;28;19;p;1;0.6963075000001027;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;SCHLECHT;negativ;q;1;9;29;1;p;0;0.6305959999999686;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;SCHLIMM;negativ;q;1;10;30;0;q;1;1.0633559000000332;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;GUT;positiv;p;1;11;31;9;p;1;0.731912100000045;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;BLUME;Natur;q;1;12;32;12;p;0;1.615063500000133;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;COMPUTER;Gemacht;p;1;13;33;18;p;1;0.7796133000001646;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;GEBÄUDE;Gemacht;p;1;14;34;15;p;1;0.663161799999898;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;AUSGEZEICHNET;positiv;p;1;15;35;5;p;1;0.6279435999999805;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;HERVORRAGEND;positiv;p;1;16;36;7;p;1;0.9784373999998479;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;BAUM;Natur;q;1;17;37;10;q;1;0.782239699999991;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;STADT;Gemacht;p;1;18;38;16;p;1;0.6338848999998845;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
4;SCHWACH;negativ;q;1;19;39;4;q;1;0.6785083999998278;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
;;;;;;;;;;;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
5;COMPUTER;Gemacht;q;0;0;0;8;q;1;0.8978531999998722;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
5;GEBÄUDE;Gemacht;q;0;1;1;5;q;1;1.1289596000001438;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
5;BLUME;Natur;p;0;2;2;2;p;1;0.6644226999999319;002;NSAP98;2019_Dec_06_0930;iat_vr;60.001644044986755;
