Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;STEIN;Natur;q;0;0;0;4;q;1;2.0302443000000494;001;NSDS65;2019_Dec_05_1148;iat_vr;60.38085830174943;
1;KLEIDER;Gemacht;p;0;1;1;7;p;1;1.0024619999999231;001;NSDS65;2019_Dec_05_1148;iat_vr;60.38085830174943;
1;BAUM;Natur;q;0;2;2;0;q;1;1.1228737000001274;001;NSDS65;2019_Dec_05_1148;iat_vr;60.38085830174943;
1;LAMPE;Gemacht;p;0;3;3;9;p;1;0.8300497000000178;001;NSDS65;2019_Dec_05_1148;iat_vr;60.38085830174943;
1;TIER;Natur;q;0;4;4;3;p;0;0.06462800000008428;001;NSDS65;2019_Dec_05_1148;iat_vr;60.38085830174943;
1;STADT;Gemacht;p;0;5;5;6;p;1;1.8685618999998042;001;NSDS65;2019_Dec_05_1148;iat_vr;60.38085830174943;
1;WASSER;Natur;q;0;6;6;1;q;1;0.998977300000206;001;NSDS65;2019_Dec_05_1148;iat_vr;60.38085830174943;
1;COMPUTER;Gemacht;p;0;7;7;8;p;1;1.2324217999998837;001;NSDS65;2019_Dec_05_1148;iat_vr;60.38085830174943;
1;BLUME;Natur;q;0;8;8;2;q;1;1.0150499000001219;001;NSDS65;2019_Dec_05_1148;iat_vr;60.38085830174943;
1;GEBÄUDE;Gemacht;p;0;9;9;5;p;1;1.106936300000143;001;NSDS65;2019_Dec_05_1148;iat_vr;60.38085830174943;
1;STADT;Gemacht;p;1;0;10;6;p;1;1.261760200000026;001;NSDS65;2019_Dec_05_1148;iat_vr;60.38085830174943;
1;WASSER;Natur;q;1;1;11;1;q;1;0.98136599999998;001;NSDS65;2019_Dec_05_1148;iat_vr;60.38085830174943;
1;TIER;Natur;q;1;2;12;3;q;1;1.23325369999975;001;NSDS65;2019_Dec_05_1148;iat_vr;60.38085830174943;
1;BAUM;Natur;q;1;3;13;0;q;1;0.9257607999998072;001;NSDS65;2019_Dec_05_1148;iat_vr;60.38085830174943;
1;KLEIDER;Gemacht;p;1;4;14;7;p;1;0.9450910000000476;001;NSDS65;2019_Dec_05_1148;iat_vr;60.38085830174943;
1;BLUME;Natur;q;1;5;15;2;q;1;1.2021050000003015;001;NSDS65;2019_Dec_05_1148;iat_vr;60.38085830174943;
1;LAMPE;Gemacht;p;1;6;16;9;p;1;1.1631616999998187;001;NSDS65;2019_Dec_05_1148;iat_vr;60.38085830174943;
1;STEIN;Natur;q;1;7;17;4;q;1;1.1462608000001637;001;NSDS65;2019_Dec_05_1148;iat_vr;60.38085830174943;
1;GEBÄUDE;Gemacht;p;1;8;18;5;p;1;1.1813065999999708;001;NSDS65;2019_Dec_05_1148;iat_vr;60.38085830174943;
1;COMPUTER;Gemacht;p;1;9;19;8;p;1;1.1750889999998435;001;NSDS65;2019_Dec_05_1148;iat_vr;60.38085830174943;
