Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;WASSER;Natur;q;0;0;0;1;q;1;3.6759678999987955;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
1;BAUM;Natur;q;0;1;1;0;q;1;0.7102730000005977;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
1;COMPUTER;Gemacht;p;0;2;2;8;p;1;2.8050925999996252;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
1;LAMPE;Gemacht;p;0;3;3;9;p;1;0.915103999999701;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
1;GEBÄUDE;Gemacht;p;0;4;4;5;p;1;1.0627850000018952;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
1;STADT;Gemacht;p;0;5;5;6;p;1;1.3148586999996041;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
1;STEIN;Natur;q;0;6;6;4;q;1;2.2021095999989484;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
1;TIER;Natur;q;0;7;7;3;q;1;0.8829225000008591;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
1;KLEIDER;Gemacht;p;0;8;8;7;p;1;0.8271009000018239;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
1;BLUME;Natur;q;0;9;9;2;q;1;0.6336174999996729;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
1;STEIN;Natur;q;1;0;10;4;q;1;3.59763810000004;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
1;GEBÄUDE;Gemacht;p;1;1;11;5;p;1;1.4810010000001057;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
1;WASSER;Natur;q;1;2;12;1;q;1;0.7355041000009805;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
1;BAUM;Natur;q;1;3;13;0;q;1;0.731995399997686;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
1;LAMPE;Gemacht;p;1;4;14;9;p;1;0.7982508999994025;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
1;BLUME;Natur;q;1;5;15;2;q;1;1.164521299997432;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
1;COMPUTER;Gemacht;p;1;6;16;8;p;1;1.056439500000124;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
1;KLEIDER;Gemacht;p;1;7;17;7;p;1;0.7632243000007293;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
1;STADT;Gemacht;p;1;8;18;6;p;1;0.7313300999994681;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
1;TIER;Natur;q;1;9;19;3;q;1;0.6815425999993749;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
;;;;;;;;;;;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
2;EINWANDFREI;positiv;p;0;0;0;6;p;1;3.971433299997443;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
2;HERVORRAGEND;positiv;p;0;1;1;7;p;1;0.7024693000021216;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
2;POSITIV;positiv;p;0;2;2;8;p;1;0.6981624999971245;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
2;NEGATIV;negativ;q;0;3;3;2;q;1;0.6623538000021654;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
2;SCHWACH;negativ;q;0;4;4;4;q;1;1.080609699998604;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
2;SCHLIMM;negativ;q;0;5;5;0;q;1;0.6659394999987853;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
2;GUT;positiv;p;0;6;6;9;p;1;0.6309758000024885;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
2;SCHLECHT;negativ;q;0;7;7;1;q;1;1.5975711999999476;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
2;AUSGEZEICHNET;positiv;p;0;8;8;5;p;1;0.7330980000006093;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
2;SCHÄDLICH;negativ;q;0;9;9;3;q;1;2.1635292999999365;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
2;EINWANDFREI;positiv;p;1;0;10;6;p;1;1.6256431000001612;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
2;SCHÄDLICH;negativ;q;1;1;11;3;q;1;0.8128034999972442;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
2;HERVORRAGEND;positiv;p;1;2;12;7;p;1;0.7988318999996409;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
2;NEGATIV;negativ;q;1;3;13;2;q;1;0.8766003999990062;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
2;SCHLIMM;negativ;q;1;4;14;0;q;1;1.4845432000001892;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
2;POSITIV;positiv;p;1;5;15;8;p;1;0.6809356000012485;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
2;SCHWACH;negativ;q;1;6;16;4;q;1;0.779018699999142;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
2;AUSGEZEICHNET;positiv;p;1;7;17;5;p;1;1.3941665999991528;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
2;GUT;positiv;p;1;8;18;9;p;1;0.5814183000002231;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
2;SCHLECHT;negativ;q;1;9;19;1;q;1;2.583213000001706;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
;;;;;;;;;;;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
3;BLUME;Natur;q;0;0;0;12;q;1;2.145275099999708;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
3;SCHLIMM;negativ;q;0;1;1;0;q;1;0.9311495999972976;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
3;EINWANDFREI;positiv;p;0;2;2;6;p;1;0.9959320000016305;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
3;LAMPE;Gemacht;p;0;3;3;19;p;1;2.5494548000024224;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
3;TIER;Natur;q;0;4;4;13;q;1;1.7294619999993301;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
3;NEGATIV;negativ;q;0;5;5;2;q;1;0.7968504999989818;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
3;GUT;positiv;p;0;6;6;9;p;1;0.7489399000005506;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
3;SCHÄDLICH;negativ;q;0;7;7;3;q;1;1.0109293999994406;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
3;GEBÄUDE;Gemacht;p;0;8;8;15;p;1;1.6012640000008105;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
3;HERVORRAGEND;positiv;p;0;9;9;7;p;1;2.0193594000011217;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
3;STEIN;Natur;q;0;10;10;14;q;1;0.7189733999985037;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
3;STADT;Gemacht;p;0;11;11;16;p;1;1.430575599999429;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
3;SCHWACH;negativ;q;0;12;12;4;q;1;1.1149408999990555;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
3;SCHLECHT;negativ;q;0;13;13;1;q;1;0.5797137000008661;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
3;KLEIDER;Gemacht;p;0;14;14;17;p;1;0.6851889999998093;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
3;AUSGEZEICHNET;positiv;p;0;15;15;5;p;1;0.9097130000009201;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
3;COMPUTER;Gemacht;p;0;16;16;18;p;1;1.8302684000009322;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
3;POSITIV;positiv;p;0;17;17;8;p;1;1.080149800000072;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
3;BAUM;Natur;q;0;18;18;10;q;1;1.4800828000006732;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
3;WASSER;Natur;q;0;19;19;11;q;1;1.0137761000005412;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
;;;;;;;;;;;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
4;HERVORRAGEND;positiv;p;0;0;0;7;p;1;2.8653653000001214;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
4;SCHWACH;negativ;q;0;1;1;4;q;1;1.0983446999998705;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
4;WASSER;Natur;q;0;2;2;11;q;1;1.0468285999995715;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
4;SCHLECHT;negativ;q;0;3;3;1;q;1;0.8287185000008321;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
4;EINWANDFREI;positiv;p;0;4;4;6;p;1;0.8777924999994866;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
4;BLUME;Natur;q;0;5;5;12;q;1;0.664657299999817;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
4;TIER;Natur;q;0;6;6;13;q;1;0.6635356000006141;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
4;COMPUTER;Gemacht;p;0;7;7;18;p;1;0.9335648999986006;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
4;KLEIDER;Gemacht;p;0;8;8;17;p;1;0.8629359999977169;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
4;SCHLIMM;negativ;q;0;9;9;0;q;1;0.7835382999983267;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
4;NEGATIV;negativ;q;0;10;10;2;q;1;0.614252999999735;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
4;STEIN;Natur;q;0;11;11;14;q;1;1.031182999999146;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
4;BAUM;Natur;q;0;12;12;10;q;1;2.2961334999999963;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
4;LAMPE;Gemacht;p;0;13;13;19;p;1;0.652239399998507;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
4;GEBÄUDE;Gemacht;p;0;14;14;15;p;1;2.1797297000011895;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
4;SCHÄDLICH;negativ;q;0;15;15;3;q;1;0.6523772000000463;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
4;AUSGEZEICHNET;positiv;p;0;16;16;5;p;1;0.7946106999988842;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
4;GUT;positiv;p;0;17;17;9;p;1;0.5969650000006368;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
4;STADT;Gemacht;p;0;18;18;16;p;1;1.5517341000013403;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
4;POSITIV;positiv;p;0;19;19;8;p;1;2.1128442000008363;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
4;POSITIV;positiv;p;1;0;20;8;p;1;0.8186322000001383;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
4;SCHÄDLICH;negativ;q;1;1;21;3;q;1;0.6975171999984013;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
4;SCHLIMM;negativ;q;1;2;22;0;q;1;0.6813098000020545;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
4;EINWANDFREI;positiv;p;1;3;23;6;p;1;1.4622129000017594;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
4;HERVORRAGEND;positiv;p;1;4;24;7;p;1;2.9619846000023244;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
4;STEIN;Natur;q;1;5;25;14;q;1;1.4454387999976461;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
4;NEGATIV;negativ;q;1;6;26;2;q;1;1.413790100003098;001;NSGC98;2019_Dec_05_1607;iat_vr;59.97699282622907;
