Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;WASSER;Natur;q;0;0;0;1;q;1;1.2399771000000328;002;NSGS90;2019_Dec_06_1726;iat_vr;60.0138151802701;
1;COMPUTER;Gemacht;p;0;1;1;8;p;1;0.6496451000002708;002;NSGS90;2019_Dec_06_1726;iat_vr;60.0138151802701;
1;TIER;Natur;q;0;2;2;3;q;1;1.061887200000001;002;NSGS90;2019_Dec_06_1726;iat_vr;60.0138151802701;
1;STADT;Gemacht;p;0;3;3;6;p;1;0.6934298999999555;002;NSGS90;2019_Dec_06_1726;iat_vr;60.0138151802701;
1;LAMPE;Gemacht;p;0;4;4;9;p;1;0.7855954000001475;002;NSGS90;2019_Dec_06_1726;iat_vr;60.0138151802701;
1;STEIN;Natur;q;0;5;5;4;q;1;0.9086578999999801;002;NSGS90;2019_Dec_06_1726;iat_vr;60.0138151802701;
1;BLUME;Natur;q;0;6;6;2;q;1;0.5332929000001059;002;NSGS90;2019_Dec_06_1726;iat_vr;60.0138151802701;
1;GEBÄUDE;Gemacht;p;0;7;7;5;p;1;0.6611895999999433;002;NSGS90;2019_Dec_06_1726;iat_vr;60.0138151802701;
1;BAUM;Natur;q;0;8;8;0;q;1;0.6682556000000659;002;NSGS90;2019_Dec_06_1726;iat_vr;60.0138151802701;
1;KLEIDER;Gemacht;p;0;9;9;7;p;1;1.6793877000000066;002;NSGS90;2019_Dec_06_1726;iat_vr;60.0138151802701;
1;STEIN;Natur;q;1;0;10;4;q;1;0.9309158999999454;002;NSGS90;2019_Dec_06_1726;iat_vr;60.0138151802701;
1;STADT;Gemacht;p;1;1;11;6;p;1;0.7649682999999641;002;NSGS90;2019_Dec_06_1726;iat_vr;60.0138151802701;
1;KLEIDER;Gemacht;p;1;2;12;7;q;0;1.0963888999999654;002;NSGS90;2019_Dec_06_1726;iat_vr;60.0138151802701;
1;BAUM;Natur;q;1;3;13;0;q;1;2.282945599999948;002;NSGS90;2019_Dec_06_1726;iat_vr;60.0138151802701;
1;BLUME;Natur;q;1;4;14;2;q;1;0.9780387000000701;002;NSGS90;2019_Dec_06_1726;iat_vr;60.0138151802701;
1;COMPUTER;Gemacht;p;1;5;15;8;p;1;0.5190510000002178;002;NSGS90;2019_Dec_06_1726;iat_vr;60.0138151802701;
1;WASSER;Natur;q;1;6;16;1;q;1;0.6309124000003976;002;NSGS90;2019_Dec_06_1726;iat_vr;60.0138151802701;
1;GEBÄUDE;Gemacht;p;1;7;17;5;p;1;0.7285557999998673;002;NSGS90;2019_Dec_06_1726;iat_vr;60.0138151802701;
1;LAMPE;Gemacht;p;1;8;18;9;p;1;0.5511626000002252;002;NSGS90;2019_Dec_06_1726;iat_vr;60.0138151802701;
1;TIER;Natur;q;1;9;19;3;q;1;1.5017224000002898;002;NSGS90;2019_Dec_06_1726;iat_vr;60.0138151802701;
;;;;;;;;;;;002;NSGS90;2019_Dec_06_1726;iat_vr;60.0138151802701;
2;GUT;positiv;p;0;0;0;9;p;1;0.7171274999996058;002;NSGS90;2019_Dec_06_1726;iat_vr;60.0138151802701;
2;SCHLIMM;negativ;q;0;1;1;0;q;1;0.6169421000004149;002;NSGS90;2019_Dec_06_1726;iat_vr;60.0138151802701;
2;SCHÄDLICH;negativ;q;0;2;2;3;q;1;0.862628500000028;002;NSGS90;2019_Dec_06_1726;iat_vr;60.0138151802701;
2;SCHLECHT;negativ;q;0;3;3;1;q;1;0.595629899999949;002;NSGS90;2019_Dec_06_1726;iat_vr;60.0138151802701;
2;HERVORRAGEND;positiv;p;0;4;4;7;p;1;0.5489655000001221;002;NSGS90;2019_Dec_06_1726;iat_vr;60.0138151802701;
2;EINWANDFREI;positiv;p;0;5;5;6;p;1;0.5928552000000309;002;NSGS90;2019_Dec_06_1726;iat_vr;60.0138151802701;
2;AUSGEZEICHNET;positiv;p;0;6;6;5;p;1;0.9663323999998283;002;NSGS90;2019_Dec_06_1726;iat_vr;60.0138151802701;
2;NEGATIV;negativ;q;0;7;7;2;q;1;0.6516341000001376;002;NSGS90;2019_Dec_06_1726;iat_vr;60.0138151802701;
2;SCHWACH;negativ;q;0;8;8;4;q;1;0.9984583000000384;002;NSGS90;2019_Dec_06_1726;iat_vr;60.0138151802701;
