Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;TIER;Natur;q;0;0;0;3;q;1;2.2813792000015383;001;NSMS57;2019_Dec_07_1040;iat_vr;59.86041747839583;
1;WASSER;Natur;q;0;1;1;1;q;1;1.7214011999967624;001;NSMS57;2019_Dec_07_1040;iat_vr;59.86041747839583;
1;STEIN;Natur;q;0;2;2;4;q;1;1.3725377000009757;001;NSMS57;2019_Dec_07_1040;iat_vr;59.86041747839583;
1;BLUME;Natur;q;0;3;3;2;q;1;1.1872316999942996;001;NSMS57;2019_Dec_07_1040;iat_vr;59.86041747839583;
1;LAMPE;Gemacht;p;0;4;4;9;p;1;1.9778998999972828;001;NSMS57;2019_Dec_07_1040;iat_vr;59.86041747839583;
1;BAUM;Natur;q;0;5;5;0;q;1;1.0487983000057284;001;NSMS57;2019_Dec_07_1040;iat_vr;59.86041747839583;
1;STADT;Gemacht;p;0;6;6;6;p;1;1.4948925000062445;001;NSMS57;2019_Dec_07_1040;iat_vr;59.86041747839583;
1;COMPUTER;Gemacht;p;0;7;7;8;p;1;1.073058800000581;001;NSMS57;2019_Dec_07_1040;iat_vr;59.86041747839583;
1;GEBÄUDE;Gemacht;p;0;8;8;5;p;1;0.9885453000024427;001;NSMS57;2019_Dec_07_1040;iat_vr;59.86041747839583;
1;KLEIDER;Gemacht;p;0;9;9;7;p;1;1.1266270999985863;001;NSMS57;2019_Dec_07_1040;iat_vr;59.86041747839583;
1;LAMPE;Gemacht;p;1;0;10;9;p;1;1.3308823000043049;001;NSMS57;2019_Dec_07_1040;iat_vr;59.86041747839583;
1;WASSER;Natur;q;1;1;11;1;q;1;1.0207609999997658;001;NSMS57;2019_Dec_07_1040;iat_vr;59.86041747839583;
1;STEIN;Natur;q;1;2;12;4;q;1;1.0629408000022522;001;NSMS57;2019_Dec_07_1040;iat_vr;59.86041747839583;
1;GEBÄUDE;Gemacht;p;1;3;13;5;p;1;1.0185417000029702;001;NSMS57;2019_Dec_07_1040;iat_vr;59.86041747839583;
1;KLEIDER;Gemacht;p;1;4;14;7;p;1;0.9940028999990318;001;NSMS57;2019_Dec_07_1040;iat_vr;59.86041747839583;
1;BAUM;Natur;q;1;5;15;0;q;1;1.2149347999948077;001;NSMS57;2019_Dec_07_1040;iat_vr;59.86041747839583;
1;TIER;Natur;q;1;6;16;3;q;1;1.0824101000034716;001;NSMS57;2019_Dec_07_1040;iat_vr;59.86041747839583;
1;STADT;Gemacht;p;1;7;17;6;p;1;1.0183536999975331;001;NSMS57;2019_Dec_07_1040;iat_vr;59.86041747839583;
1;COMPUTER;Gemacht;p;1;8;18;8;p;1;1.4638648999971338;001;NSMS57;2019_Dec_07_1040;iat_vr;59.86041747839583;
