Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;GEBÄUDE;Gemacht;p;0;0;0;5;p;1;0.8169577999997273;002;NSNT98;2019_Dec_05_1322;iat_vr;60.009313445412296;
1;STADT;Gemacht;p;0;1;1;6;p;1;0.5570810999997775;002;NSNT98;2019_Dec_05_1322;iat_vr;60.009313445412296;
1;KLEIDER;Gemacht;p;0;2;2;7;p;1;0.7718353000000207;002;NSNT98;2019_Dec_05_1322;iat_vr;60.009313445412296;
1;STEIN;Natur;q;0;3;3;4;q;1;0.7338197999997647;002;NSNT98;2019_Dec_05_1322;iat_vr;60.009313445412296;
1;BAUM;Natur;q;0;4;4;0;q;1;0.49561500000163505;002;NSNT98;2019_Dec_05_1322;iat_vr;60.009313445412296;
1;BLUME;Natur;q;0;5;5;2;q;1;0.6481479000012769;002;NSNT98;2019_Dec_05_1322;iat_vr;60.009313445412296;
1;COMPUTER;Gemacht;p;0;6;6;8;p;1;0.5204845999996905;002;NSNT98;2019_Dec_05_1322;iat_vr;60.009313445412296;
1;LAMPE;Gemacht;p;0;7;7;9;p;1;0.8353690000003553;002;NSNT98;2019_Dec_05_1322;iat_vr;60.009313445412296;
1;TIER;Natur;q;0;8;8;3;q;1;0.5325097000004462;002;NSNT98;2019_Dec_05_1322;iat_vr;60.009313445412296;
1;WASSER;Natur;q;0;9;9;1;q;1;1.3124504999996134;002;NSNT98;2019_Dec_05_1322;iat_vr;60.009313445412296;
1;LAMPE;Gemacht;p;1;0;10;9;p;1;0.5820416000005935;002;NSNT98;2019_Dec_05_1322;iat_vr;60.009313445412296;
1;STEIN;Natur;q;1;1;11;4;q;1;0.7137844999997469;002;NSNT98;2019_Dec_05_1322;iat_vr;60.009313445412296;
1;GEBÄUDE;Gemacht;p;1;2;12;5;p;1;0.7172608000000764;002;NSNT98;2019_Dec_05_1322;iat_vr;60.009313445412296;
1;STADT;Gemacht;p;1;3;13;6;p;1;0.5341447999999218;002;NSNT98;2019_Dec_05_1322;iat_vr;60.009313445412296;
1;BLUME;Natur;q;1;4;14;2;q;1;0.6189085999994859;002;NSNT98;2019_Dec_05_1322;iat_vr;60.009313445412296;
1;KLEIDER;Gemacht;p;1;5;15;7;p;1;0.7489587000000029;002;NSNT98;2019_Dec_05_1322;iat_vr;60.009313445412296;
1;BAUM;Natur;q;1;6;16;0;q;1;0.5967220000002271;002;NSNT98;2019_Dec_05_1322;iat_vr;60.009313445412296;
1;COMPUTER;Gemacht;p;1;7;17;8;p;1;0.5494376000006014;002;NSNT98;2019_Dec_05_1322;iat_vr;60.009313445412296;
1;WASSER;Natur;q;1;8;18;1;q;1;0.6017979999996896;002;NSNT98;2019_Dec_05_1322;iat_vr;60.009313445412296;
1;TIER;Natur;q;1;9;19;3;q;1;0.665157100000215;002;NSNT98;2019_Dec_05_1322;iat_vr;60.009313445412296;
;;;;;;;;;;;002;NSNT98;2019_Dec_05_1322;iat_vr;60.009313445412296;
2;POSITIV;positiv;p;0;0;0;8;p;1;0.5361474000001181;002;NSNT98;2019_Dec_05_1322;iat_vr;60.009313445412296;
2;GUT;positiv;p;0;1;1;9;p;1;0.4490285000010772;002;NSNT98;2019_Dec_05_1322;iat_vr;60.009313445412296;
2;HERVORRAGEND;positiv;p;0;2;2;7;p;1;0.5744905999999901;002;NSNT98;2019_Dec_05_1322;iat_vr;60.009313445412296;
2;SCHÄDLICH;negativ;q;0;3;3;3;q;1;0.4789208999991388;002;NSNT98;2019_Dec_05_1322;iat_vr;60.009313445412296;
2;EINWANDFREI;positiv;p;0;4;4;6;p;1;0.5929625000007945;002;NSNT98;2019_Dec_05_1322;iat_vr;60.009313445412296;
2;SCHWACH;negativ;q;0;5;5;4;q;1;0.863244999998642;002;NSNT98;2019_Dec_05_1322;iat_vr;60.009313445412296;
2;SCHLECHT;negativ;q;0;6;6;1;q;1;0.5627691000008781;002;NSNT98;2019_Dec_05_1322;iat_vr;60.009313445412296;
2;AUSGEZEICHNET;positiv;p;0;7;7;5;p;1;0.6024520999999368;002;NSNT98;2019_Dec_05_1322;iat_vr;60.009313445412296;
2;NEGATIV;negativ;q;0;8;8;2;q;1;0.4647027999999409;002;NSNT98;2019_Dec_05_1322;iat_vr;60.009313445412296;
2;SCHLIMM;negativ;q;0;9;9;0;q;1;0.6485938000005262;002;NSNT98;2019_Dec_05_1322;iat_vr;60.009313445412296;
2;EINWANDFREI;positiv;p;1;0;10;6;p;1;0.7453267999990203;002;NSNT98;2019_Dec_05_1322;iat_vr;60.009313445412296;
