Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;WASSER;Natur;q;0;0;0;1;q;1;0.9610112999998819;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
1;COMPUTER;Gemacht;p;0;1;1;8;p;1;0.5836346000000958;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
1;BAUM;Natur;q;0;2;2;0;q;1;0.6342603999999028;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
1;TIER;Natur;q;0;3;3;3;q;1;0.6117345999998633;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
1;KLEIDER;Gemacht;p;0;4;4;7;p;1;0.585544599999821;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
1;BLUME;Natur;q;0;5;5;2;q;1;0.5650344999999106;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
1;LAMPE;Gemacht;p;0;6;6;9;p;1;0.6797622000001411;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
1;GEBÄUDE;Gemacht;p;0;7;7;5;p;1;0.5856377999998585;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
1;STEIN;Natur;q;0;8;8;4;q;1;0.5740422000001217;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
1;STADT;Gemacht;p;0;9;9;6;p;1;0.5982389999999214;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
1;TIER;Natur;q;1;0;10;3;q;1;0.6844689000001836;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
1;BLUME;Natur;q;1;1;11;2;q;1;0.6189081999998507;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
1;WASSER;Natur;q;1;2;12;1;q;1;0.5464905999999701;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
1;BAUM;Natur;q;1;3;13;0;q;1;0.5662907999999334;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
1;KLEIDER;Gemacht;p;1;4;14;7;p;1;0.6182871999999406;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
1;STADT;Gemacht;p;1;5;15;6;p;1;0.5965280000000348;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
1;COMPUTER;Gemacht;p;1;6;16;8;p;1;0.6334940000001552;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
1;LAMPE;Gemacht;p;1;7;17;9;p;1;0.6023695999999745;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
1;GEBÄUDE;Gemacht;p;1;8;18;5;p;1;0.5177679999999327;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
1;STEIN;Natur;q;1;9;19;4;q;1;0.5476837999999589;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
;;;;;;;;;;;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
2;SCHLECHT;negativ;q;0;0;0;1;q;1;0.6089713000001211;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
2;NEGATIV;negativ;q;0;1;1;2;q;1;0.43115929999999025;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
2;SCHLIMM;negativ;q;0;2;2;0;q;1;0.45051439999997456;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
2;AUSGEZEICHNET;positiv;p;0;3;3;5;p;1;0.5117956000001413;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
2;EINWANDFREI;positiv;p;0;4;4;6;p;1;0.45858620000012706;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
2;POSITIV;positiv;p;0;5;5;8;p;1;0.46347949999994853;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
2;GUT;positiv;p;0;6;6;9;p;1;0.4856203999997888;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
2;HERVORRAGEND;positiv;p;0;7;7;7;p;1;0.46672090000015487;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
2;SCHWACH;negativ;q;0;8;8;4;q;1;0.5294394000000011;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
2;SCHÄDLICH;negativ;q;0;9;9;3;q;1;0.5005628999999772;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
2;AUSGEZEICHNET;positiv;p;1;0;10;5;p;1;0.4939730999999483;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
2;SCHLECHT;negativ;q;1;1;11;1;q;1;0.6017686999998659;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
2;NEGATIV;negativ;q;1;2;12;2;q;1;0.5183835000000272;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
2;SCHWACH;negativ;q;1;3;13;4;q;1;0.510123700000122;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
2;EINWANDFREI;positiv;p;1;4;14;6;p;1;0.680136199999879;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
2;GUT;positiv;p;1;5;15;9;p;1;0.5670477000001029;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
2;SCHLIMM;negativ;q;1;6;16;0;q;1;0.5488258000000314;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
2;HERVORRAGEND;positiv;p;1;7;17;7;p;1;0.5943561999999929;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
2;SCHÄDLICH;negativ;q;1;8;18;3;q;1;0.6020753000000241;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
2;POSITIV;positiv;p;1;9;19;8;p;1;0.4846895000000586;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
;;;;;;;;;;;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
3;SCHLIMM;negativ;q;0;0;0;0;q;1;0.7742900000000645;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
3;BAUM;Natur;q;0;1;1;10;q;1;0.5505032999999457;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
3;TIER;Natur;q;0;2;2;13;q;1;0.551149500000065;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
3;STADT;Gemacht;p;0;3;3;16;q;0;0.43409489999999096;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
3;STEIN;Natur;q;0;4;4;14;p;0;0.6990471999999954;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
3;WASSER;Natur;q;0;5;5;11;q;1;0.9780393000000913;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
3;GUT;positiv;p;0;6;6;9;p;1;0.6482850999998391;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
3;EINWANDFREI;positiv;p;0;7;7;6;p;1;0.5174557999998797;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
3;SCHLECHT;negativ;q;0;8;8;1;q;1;0.5811914999999317;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
3;AUSGEZEICHNET;positiv;p;0;9;9;5;p;1;0.8773773000000347;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
3;POSITIV;positiv;p;0;10;10;8;p;1;0.5301058000000012;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
3;LAMPE;Gemacht;p;0;11;11;19;p;1;0.733952600000066;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
3;NEGATIV;negativ;q;0;12;12;2;q;1;0.6358096999999816;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
3;SCHWACH;negativ;q;0;13;13;4;q;1;0.49692750000008346;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
3;BLUME;Natur;q;0;14;14;12;q;1;1.41816730000005;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
3;HERVORRAGEND;positiv;p;0;15;15;7;p;1;0.7598123000000214;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
3;GEBÄUDE;Gemacht;p;0;16;16;15;p;1;0.8144821999999294;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
3;SCHÄDLICH;negativ;q;0;17;17;3;q;1;0.6607824000000164;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
3;COMPUTER;Gemacht;p;0;18;18;18;p;1;0.6282676999999239;002;NSVS96;2019_Dec_05_1112;iat_vr;61.08373541701175;
