Block;Word;Category;CorrResp;trials.thisRepN;trials.thisTrialN;trials.thisN;trials.thisIndex;key_resp_2.keys;key_resp_2.corr;key_resp_2.rt;session;participant;date;expName;frameRate;
1;LAMPE;Gemacht;p;0;0;0;9;p;1;0.6052148260023387;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
1;KLEIDER;Gemacht;p;0;1;1;7;p;1;0.5706450180005049;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
1;COMPUTER;Gemacht;p;0;2;2;8;p;1;0.5707247059981455;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
1;BLUME;Natur;q;0;3;3;2;q;1;0.488121359001525;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
1;BAUM;Natur;q;0;4;4;0;q;1;0.503915268000128;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
1;STADT;Gemacht;p;0;5;5;6;p;1;0.6877886160000344;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
1;WASSER;Natur;q;0;6;6;1;q;1;0.5709732840005017;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
1;STEIN;Natur;q;0;7;7;4;q;1;0.5712673910020385;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
1;TIER;Natur;q;0;8;8;3;q;1;0.6056905219993496;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
1;GEBÄUDE;Gemacht;p;0;9;9;5;p;1;0.6381230269980733;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
1;WASSER;Natur;q;1;0;10;1;q;1;0.7392244430011488;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
1;BAUM;Natur;q;1;1;11;0;q;1;0.6854669029999059;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
1;GEBÄUDE;Gemacht;p;1;2;12;5;p;1;0.6388963209974463;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
1;STEIN;Natur;q;1;3;13;4;q;1;0.555353080999339;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
1;COMPUTER;Gemacht;p;1;4;14;8;p;1;0.905586327000492;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
1;BLUME;Natur;q;1;5;15;2;q;1;0.4893832320012734;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
1;TIER;Natur;q;1;6;16;3;q;1;0.7555222279988811;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
1;STADT;Gemacht;p;1;7;17;6;p;1;0.7059707240005082;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
1;KLEIDER;Gemacht;p;1;8;18;7;p;1;0.8890104040001461;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
1;LAMPE;Gemacht;p;1;9;19;9;p;1;0.8062945520032372;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
;;;;;;;;;;;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
2;POSITIV;positiv;p;0;0;0;8;p;1;0.6880571340007009;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
2;SCHÄDLICH;negativ;q;0;1;1;3;q;1;0.5369940099990345;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
2;GUT;positiv;p;0;2;2;9;p;1;0.5722113189985976;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
2;SCHWACH;negativ;q;0;3;3;4;q;1;0.5862226999997802;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
2;AUSGEZEICHNET;positiv;p;0;4;4;5;p;1;0.7515786759977345;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
2;SCHLIMM;negativ;q;0;5;5;0;q;1;0.5885682730004191;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
2;HERVORRAGEND;positiv;p;0;6;6;7;p;1;0.6544605839990254;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
2;NEGATIV;negativ;q;0;7;7;2;q;1;0.62236472999939;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
2;SCHLECHT;negativ;q;0;8;8;1;q;1;0.7717768859984062;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
2;EINWANDFREI;positiv;p;0;9;9;6;p;1;0.8870373770005244;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
2;EINWANDFREI;positiv;p;1;0;10;6;p;1;0.6699951420014258;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
2;SCHLIMM;negativ;q;1;1;11;0;q;1;0.6213246250008524;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
2;HERVORRAGEND;positiv;p;1;2;12;7;p;1;0.9517637889985053;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
2;NEGATIV;negativ;q;1;3;13;2;q;1;0.8391252949986665;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
2;SCHÄDLICH;negativ;q;1;4;14;3;q;1;0.8216361880004115;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
2;POSITIV;positiv;p;1;5;15;8;p;1;0.8381004590009979;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
2;SCHWACH;negativ;q;1;6;16;4;q;1;0.7223209389994736;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
2;AUSGEZEICHNET;positiv;p;1;7;17;5;p;1;0.8545404850010527;002;sutti;2019_May_10_1620;iat_vr;60.06265087068536;
