id,time,iat,StartDate,ccs1,ccs2,ccs3,ccs4,ccs5,ccs6,ccs7,ccs8,ccs9,ccs10,ccs11,ccs12,nr1,nr2,nr3,nr4,nr5,nr6,nr7,nr8,nr9,nr10,nr11,nr12,nr13,nr14,nr15,nr16,nr17,nr18,nr19,nr20,nr21,nep1,nep2,nep3,nep4,nep5,nep6,nep7,nep8,nep9,nep10,nep11,nep12,nep13,nep14,nep15,SES_1,SES_2,SES_3,SES_4,SES_5,SES_6,SES_7,SES_8,SES_9,SES_10,SES_11,SES_12,SES_13,SES_14,SES_15,SES_16,SES_17,age,edu,sex,pol,ipq1,ipq2,ipq3,ipq4,ipq5,ipq6,ipq7,ipq8,ipq9,ipq10,ipq11,ipq12,ipq13,ipq14,sod_1,sod_2,sod_3,sod_4,sod_5,sod_6,sod_7,sod_8,sod_9,vr_exp,vr_eval1,vr_eval2,vr_eval3,vr_eval4,vr_eval5,span,seen,yearOfBirth,timeBtwnTestings_inH,condition,Frage1,Frage2,Frage3,OQ_Design+,OQ_Design-,OQ_alreadyAware,OQ_personalConsequences,OQ_Realism,OQ_Abstractness,OQ_positiveExperience,OQ_personaMemoriesl,OQ_generalConsequences,OQ_fidelity+,OQ_fidelity-,hr_mean,Leiter,Anmerkungen,Zeit,nep,nr,ccs,ipq,sod,ses
28287312,1,0.1792017776531875,NA,1,1,2,1,1,1,1,1,1,1,1,1,4,5,4,1,4,4,1,4,3,4,4,2,5,4,3,4,2,5,5,3,2,5,2,5,4,5,4,2,5,4,5,1,5,5,5,4,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,54,5,W,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,3,4,2,NA,NA,text,"war erstaunt, dass er neutral geschrieben war und nicht dazu motivieren wollte, etwas für die Umwelt zu tun",Schwund des Aletschgletschers wirklich sehr alarmierend,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anna.roesli,ist interessiert an den eigenen Ergebnissen des IAT,2 min 43 sek,4.066666666666666,3.4761904761904763,1.0833333333333333,NA,NA,1.7647058823529411
28287312,2,0.4091320233654171,NA,1,1,1,1,1,1,1,1,1,1,1,1,4,5,4,1,4,2,2,4,2,3,4,2,4,4,2,3,2,5,5,2,1,4,2,5,5,5,4,2,5,4,5,2,5,5,5,5,2,2,2,2,2,1,1,2,2,1,1,2,2,2,2,2,1,54,5,W,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,3,4,2,NA,NA,text,"war erstaunt, dass er neutral geschrieben war und nicht dazu motivieren wollte, etwas für die Umwelt zu tun",Schwund des Aletschgletschers wirklich sehr alarmierend,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anna.roesli,ist interessiert an den eigenen Ergebnissen des IAT,2 min 43 sek,4.2,3.0952380952380953,1,NA,NA,1.7058823529411764
77995467,1,-0.4955820252635227,NA,1,1,1,1,1,1,2,1,1,2,1,1,4,4,4,4,5,5,5,5,4,4,3,5,5,4,2,2,4,5,4,4,5,4,2,5,3,5,2,4,4,5,5,2,4,5,4,5,2,1,2,1,1,2,2,1,2,1,2,1,2,1,2,1,2,21,4,M,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,5,7,5,4,2,NA,NA,text.bild,fand den Text etwas repetitiv,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anna.roesli,-,3 min 16 sek,3.933333333333333,4.142857142857143,1.1666666666666667,NA,NA,1.5294117647058822
77995467,2,-0.3624430346501241,NA,1,1,1,1,1,1,1,1,1,1,1,2,4,5,4,4,5,5,5,5,4,4,2,5,5,5,4,3,4,5,5,4,5,5,2,5,3,5,4,3,5,5,5,4,4,5,4,5,2,1,2,1,1,1,2,1,2,1,1,2,2,1,1,1,1,21,4,M,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,6,5,7,5,4,2,NA,NA,text.bild,fand den Text etwas repetitiv,-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anna.roesli,-,3 min 16 sek,4.266666666666667,4.380952380952381,1.0833333333333333,NA,NA,1.3529411764705883
43795961,1,0.5166094865288232,NA,2,1,1,1,2,1,2,2,1,1,1,1,3,5,4,2,4,3,2,3,3,3,5,4,3,3,4,4,3,4,4,3,3,4,3,3,3,4,3,4,3,5,5,4,4,4,3,4,2,2,2,1,2,1,2,2,2,1,1,1,2,2,1,2,1,25,5,W,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,6,5,4,3,NA,NA,text.bild,"Text war informativ und prägnant, eindrückliche Bilder",-,"Items haben sie dazu angeregt, dass sie weiterhin auf Umwelt und Mitmenschen Rücksicht nehmen will",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anna.roesli,-,2 min 30 sek,3.7333333333333334,3.4285714285714284,1.3333333333333333,NA,NA,1.588235294117647
43795961,2,0.6338874017482425,NA,2,1,1,1,2,1,2,1,1,2,1,1,3,4,4,2,3,3,3,3,4,3,4,4,2,3,4,4,3,4,4,3,4,4,3,3,3,4,3,5,4,4,4,5,4,4,5,4,2,2,2,1,1,1,2,2,1,1,1,2,2,2,1,2,1,25,5,W,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,6,6,6,5,4,3,NA,NA,text.bild,"Text war informativ und prägnant, eindrückliche Bilder",-,"Items haben sie dazu angeregt, dass sie weiterhin auf Umwelt und Mitmenschen Rücksicht nehmen will",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anna.roesli,-,2 min 30 sek,3.933333333333333,3.380952380952381,1.3333333333333333,NA,NA,1.5294117647058822
24116991,1,0.7308450427710546,NA,4,2,2,2,2,4,2,1,2,4,1,3,4,4,3,3,4,1,2,3,4,5,5,4,4,4,3,5,3,5,2,1,2,2,2,3,4,4,1,5,4,5,4,2,5,4,5,3,2,2,1,1,1,2,2,1,1,1,1,2,1,2,1,2,2,22,5,M,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,4,4,2,NA,NA,text,"fand Text etwas speziell, wie Geschichte in der Zukunft erzählt wird von jemandem, der längst gestorben ist",-,"nichts Konkretes, fand aber generell Auseinandersetzung mit dem Thema wichtig und gut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anna.roesli,ist interessiert an Resultaten,2 min 15 sek,3.533333333333333,3.380952380952381,2.4166666666666665,NA,NA,1.4705882352941178
24116991,2,-0.2788315959934612,NA,4,2,2,1,2,1,3,1,1,3,1,3,2,4,3,4,3,1,3,3,4,4,4,4,4,3,2,5,3,4,2,2,2,2,2,4,3,5,1,2,5,5,4,4,3,4,3,3,2,2,1,1,1,1,2,1,1,1,2,2,2,2,2,2,1,22,5,M,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,5,NA,4,4,2,NA,NA,text,"fand Text etwas speziell, wie Geschichte in der Zukunft erzählt wird von jemandem, der längst gestorben ist",-,"nichts Konkretes, fand aber generell Auseinandersetzung mit dem Thema wichtig und gut",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anna.roesli,ist interessiert an Resultaten,2 min 15 sek,3.3333333333333335,3.142857142857143,2,NA,NA,1.5294117647058822
44329800,1,0.4635566379746274,NA,1,1,5,1,1,1,1,1,1,2,1,1,5,5,4,4,4,4,2,5,4,5,5,5,2,4,4,5,5,5,4,3,4,4,2,5,2,5,3,5,5,5,5,2,5,5,4,5,2,2,1,2,2,2,2,2,2,1,2,2,1,1,2,2,2,66,6,M,2,1,1,2,6,1,5,6,4,4,3,2,7,5,1,3,7,7,7,4,6,6,7,7,NA,6,5,4,5,5,4,3,NA,NA,video,"Inhalt sehr gut, graphisch aber nicht vergleichbar mit Natur","Nein, weil er dies schon gekannt hat und bereits viel darüber weiss.",-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anna.roesli,"konnte Computer nur schlecht bedienen, hat gesamthaft für das Experiment fast eine Stunde benötigt, hat immer wieder dazwischen Fragen gestellt, ist interessiert an Resultaten/Abschlussbericht",-,4.133333333333334,4.190476190476191,1.4166666666666667,3.4285714285714284,6,1.7647058823529411
44329800,2,-0.3980438027454727,NA,1,1,1,1,1,1,1,1,1,2,1,1,4,5,5,4,4,4,3,5,4,1,4,5,2,4,5,5,5,5,4,4,4,5,2,5,4,4,4,5,5,5,5,3,2,5,3,4,2,2,1,1,1,1,2,2,2,1,2,2,1,1,2,2,2,66,6,M,2,1,1,2,6,1,5,6,4,4,3,2,7,5,1,3,7,7,7,4,6,6,7,7,NA,6,5,4,5,5,4,3,NA,NA,video,"Inhalt sehr gut, graphisch aber nicht vergleichbar mit Natur","Nein, weil er dies schon gekannt hat und bereits viel darüber weiss.",-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anna.roesli,"konnte Computer nur schlecht bedienen, hat gesamthaft für das Experiment fast eine Stunde benötigt, hat immer wieder dazwischen Fragen gestellt, ist interessiert an Resultaten/Abschlussbericht",-,4.066666666666666,4.095238095238095,1.0833333333333333,3.4285714285714284,6,1.588235294117647
26891467,1,-0.11750163213195423,NA,1,2,1,1,1,1,1,1,1,1,2,2,4,5,4,3,4,4,4,4,5,5,4,5,3,5,4,4,5,5,4,4,4,4,2,4,3,4,2,4,4,4,4,4,5,5,2,5,2,1,1,2,1,1,2,1,1,1,2,1,1,2,1,2,2,25,5,W,2,5,3,6,6,5,6,6,4,6,6,5,4,5,6,6,6,6,6,3,2,6,6,6,NA,6,3,5,5,4,4,3,NA,NA,video,-,weiterhin Beschäftigung mit dem Thema,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anna.roesli,-,-,3.7333333333333334,4.238095238095238,1.25,5.214285714285714,5.222222222222222,1.411764705882353
26891467,2,0.7159930164634808,NA,2,1,1,1,1,2,1,1,1,2,2,2,4,5,4,3,4,4,4,4,4,5,3,5,3,5,4,4,4,5,4,5,3,4,4,3,2,4,2,4,4,4,4,4,5,4,3,4,2,1,1,2,1,1,2,1,1,1,2,1,2,2,1,1,2,25,5,W,2,5,3,6,6,5,6,6,4,6,6,5,4,5,6,6,6,6,6,3,2,6,6,6,NA,6,3,5,5,4,4,3,NA,NA,video,-,weiterhin Beschäftigung mit dem Thema,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anna.roesli,-,-,3.6666666666666665,4.095238095238095,1.4166666666666667,5.214285714285714,5.222222222222222,1.411764705882353
73397305,1,0.7759046163239238,NA,1,1,1,1,1,1,1,1,1,2,1,1,5,5,5,4,4,4,1,4,3,4,5,4,2,3,2,4,3,4,4,3,3,3,5,4,3,5,1,5,2,4,5,5,5,4,5,4,2,2,2,2,1,1,2,1,2,1,1,1,2,2,1,1,2,19,4,W,2,1,6,2,3,2,3,5,4,5,5,1,2,2,4,6,1,1,1,1,4,1,1,1,NA,6,1,1,1,1,4,3,NA,NA,video,"fand Video unangenehm, dass sie den Blick nicht selbst steuern konnte, sonst aber schon prägend","wurde wieder einmal bewusst, wie schlecht es um unsere Welt steht","möchte weiterhin möglichst umweltbewusst handeln, wird sich aber nichts gross verändern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anna.roesli,ist interessiert an Resultaten,-,4,3.619047619047619,1.0833333333333333,3.2142857142857144,1.8888888888888888,1.5294117647058822
73397305,2,0.5418772495077112,NA,1,1,1,1,1,1,1,1,1,2,1,1,4,5,5,4,4,5,1,4,5,4,5,4,2,2,3,5,4,5,5,4,4,4,5,5,4,5,2,5,1,5,5,4,5,5,5,5,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,19,4,W,2,1,6,2,3,2,3,5,4,5,5,1,2,2,4,6,1,1,1,1,4,1,1,1,NA,6,1,1,1,1,4,3,NA,NA,video,"fand Video unangenehm, dass sie den Blick nicht selbst steuern konnte, sonst aber schon prägend","wurde wieder einmal bewusst, wie schlecht es um unsere Welt steht","möchte weiterhin möglichst umweltbewusst handeln, wird sich aber nichts gross verändern",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anna.roesli,ist interessiert an Resultaten,-,4.333333333333333,4,1.0833333333333333,3.2142857142857144,1.8888888888888888,1.2941176470588236
16916096,1,-0.12557740789184296,NA,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,4,5,4,4,4,4,4,5,4,4,5,5,4,5,4,2,2,4,3,3,2,4,2,3,5,5,5,2,5,5,5,2,2,1,1,1,2,1,1,1,2,1,1,2,2,2,1,2,2,21,4,W,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,6,NA,4,3,1,NA,NA,text,"einfach geschrieben (evtl. für Kinder oder jemanden, der nicht so gut Bescheid weiss)",-,-,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,anna.roesli,-,2 min 13 sek,3.6666666666666665,4.0476190476190474,1,NA,NA,1.4705882352941178
